AnimalID,Collar,Pen,Placement,Removal,"Lambing Time","Lambing Time(2nd)","Lambing Time(3rd)",Lambing Type,First lambing,Camera,Elapsed time,Filme(s) filename,Treat Data @WISEWARE,Assistance,Comments,Problems,,
90208,C0077C8DC4D3,15,23/4/24 2:00 PM,5/5/24 2:15 PM,04/05/2024 07:53:37,04/05/2024 09:57:00,,Double,,CH8,2:03,Pen15_Chan08_Lambing240504_075337_095700,YES,None,,none,POS_15_C0077C8DC4D3_2024-05-04T07.53.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_15_C0077C8DC4D3_2024-05-04T07.53.00+02.00_2__annotated_class_all.csv '04/05/2024 07:53:37'  '04/05/2024 09:57:00' ;
10199,C0077C8DC4D3,15,5/5/24 2:30 PM,16/5/24 2:50 PM,10/05/2024 16:26:00,10/05/2024 17:07:00,10/05/2024 17:50:00,Triple,,CH8,,,YES @13-05-2024,,"Farm managers notes ""expecting three lambs"", first with help",none,POS_15_C0077C8DC4D3_2024-05-10T16.26.00+02.00_3__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_15_C0077C8DC4D3_2024-05-10T16.26.00+02.00_3__annotated_class_all.csv '10/05/2024 16:26:00'  '10/05/2024 17:50:00' ;
0102,DB89BB3E6BF3,16,23/4/24 2:00 PM,25/4/24 11:14 AM,23/04/2024 19:00:00,23/04/2024 19:00:00,,Double,,CH8,0:00,No Video Recorded,YES,,Missed lambing from the video recording. Motion detection on the camera surveillance needs to be turned off (24/4/24; 9:00AM). Farm manager noted lambing (23/4/24; 7:00PM).,MissVideo,POS_16_DB89BB3E6BF3_2024-04-23T19.00.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_16_DB89BB3E6BF3_2024-04-23T19.00.00+02.00_2__annotated_class_all.csv '23/04/2024 19:00:00'  '23/04/2024 19:00:00' ;
10239,DB89BB3E6BF3,16,25/4/24 9:22 PM,16/5/24 2:50 PM,08/05/2024 10:41:00,08/05/2024 11:37:30,,Double,,CH8,0:56,,YES,None,"SN ""collar was placed wrong, I corrected making sure the arrow is pointing downwards, 4/30/2024  12:24:00 PM"", both natural",InvCollar,POS_16_DB89BB3E6BF3_2024-05-08T10.41.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_16_DB89BB3E6BF3_2024-05-08T10.41.00+02.00_2__annotated_class_all.csv '08/05/2024 10:41:00'  '08/05/2024 11:37:30' ;
0283,FD731CBA7680,17,23/4/24 2:00 PM,26/4/24 7:11 PM,25/04/2024 08:32:42,25/04/2024 08:48:20,,Double,,CH9,0:15,Pen17_Chan09_Lambing240425_083242_084820,YES,First,"First lamb assisted, second lamb natural.",none,POS_17_FD731CBA7680_2024-04-25T08.32.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_17_FD731CBA7680_2024-04-25T08.32.00+02.00_2__annotated_class_all.csv '25/04/2024 08:32:42'  '25/04/2024 08:48:20' ;
10234,FD731CBA7680,17,26/4/24 8:35 PM,4/5/24 10:34 AM,02/05/2024 11:30:28,,,Single,,CH9,###############################################################################################################################################################################################################################################################,Pen17_Chan09_Lambing240502_113028_,YES,None,"Farm managers notes ""only one lamb is expected"". Inverted collar; ; SN ""collar was placed wrong, saw it after lambing, 5/02/2024  1:33:00 PM""",InvCollar,POS_17_FD731CBA7680_2024-05-02T11.30.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_17_FD731CBA7680_2024-05-02T11.30.00+02.00_1__annotated_class_all.csv '02/05/2024 11:30:28'  '02/05/2024 11:30:28' ;
20167,FD731CBA7680,17,5/5/24 2:30 PM,8/5/24 2:31 PM,06/05/2024 20:38:00,06/05/2024 20:46:27,,Double,,CH9,0:08,Pen17_Chan09_Lambing240506_203800_204627,YES,None,Both natural,none,POS_17_FD731CBA7680_2024-05-06T20.38.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_17_FD731CBA7680_2024-05-06T20.38.00+02.00_2__annotated_class_all.csv '06/05/2024 20:38:00'  '06/05/2024 20:46:27' ;
20371,FD731CBA7680,17,8/5/24 3:10 PM,21/5/24 9:43 AM,16/05/2024 14:10:55,16/05/2024 15:44:30,16/05/2024 15:45:29,Triple,,CH9,1:34,,YES @17-05-2024,,"Farm managers notes ""expecting three lambs"", first natural, 2nd and 3rd assisted",,POS_17_FD731CBA7680_2024-05-16T14.10.00+02.00_3__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_17_FD731CBA7680_2024-05-16T14.10.00+02.00_3__annotated_class_all.csv '16/05/2024 14:10:55'  '16/05/2024 15:45:29' ;
0404,E364083AF87C,18,23/4/24 2:00 PM,29/4/24 2:00 PM,26/04/2024 21:00:39,26/04/2024 21:17:36,,Double,,CH9,0:16,Pen18_Chan09_Lambing240426_210039_211736,YES,Both,"First assisted, second assisted",none,POS_18_E364083AF87C_2024-04-26T21.00.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_18_E364083AF87C_2024-04-26T21.00.00+02.00_2__annotated_class_all.csv '26/04/2024 21:00:39'  '26/04/2024 21:17:36' ;
20045,E364083AF87C,18,29/4/24 3:13 PM,10/5/24 7:24 PM,07/05/2024 22:00:00,,,Single,,CH9,###############################################################################################################################################################################################################################################################,Pen18_Chan09_Lambing240507_220000_,YES,None,"Farm managers notes ""only one lamb is expected"", No help; SN ""collar was placed wrong, I corrected making sure the arrow is pointing downwards, 5/02/2024  1:30:00 PM"", Natural",InvCollar,POS_18_E364083AF87C_2024-05-07T22.00.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_18_E364083AF87C_2024-05-07T22.00.00+02.00_1__annotated_class_all.csv '07/05/2024 22:00:00'  '07/05/2024 22:00:00' ;
80726,E6E4A48F10C1,18,10/5/24 9:00 PM,21/5/24 9:43 AM,16/05/2024 08:12:00,16/05/2024 08:27:00,,Double,,CH9,0:15,,YES @17-05-2024,,"SN""changed the collar F8:7C to 10:C1 on 15/5/24 12:35"", both natural",,POS_18_E6E4A48F10C1_2024-05-16T08.12.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_18_E6E4A48F10C1_2024-05-16T08.12.00+02.00_2__annotated_class_all.csv '16/05/2024 08:12:00'  '16/05/2024 08:27:00' ;
10289,FC2172B97EA8,19,23/4/24 2:00 PM,10/5/24 7:24 PM,05/05/2024 06:04:00,05/05/2024 06:28:00,,Double,,CH10,0:24,,YES,Both,Both assisted.,none,POS_19_FC2172B97EA8_2024-05-05T06.04.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_19_FC2172B97EA8_2024-05-05T06.04.00+02.00_2__annotated_class_all.csv '05/05/2024 06:04:00'  '05/05/2024 06:28:00' ;
